jobid,level,tech_specialisation,country,state,salary_from,salary_to,currency,type,mode,visa_sponsorship,work_experience_years,education_level,cert_id,certification_text,is_mandatory
321,,Data Engineering & Analytics,Singapore,,,,,Full time,,,7,Bachelor Degree,,,
336,Middle,Python,Singapore,,4000,6000,SGD,Full time,,,2,Bachelor Degree,,,
351,Middle,Machine Vision,Singapore,,3800,5000,SGD,Full time,Office,,,Bachelor Degree,,,
366,,Security,Singapore,,4500,6000,SGD,Full time,,,,Bachelor Degree,,,
371,Middle,IT,Singapore,,4600,6800,SGD,Full time,,,3,Bachelor Degree,,,
410,Middle,Cisco,Singapore,,4000,5200,SGD,Full time,,,3,Bachelor Degree,147,Cisco (CCNA/CCNP/CCIE),0
410,Middle,Cisco,Singapore,,4000,5200,SGD,Full time,,,3,Bachelor Degree,148,Cisco (CCNA/CCNP/CCIE),0
495,Senior,Architecture,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
500,Senior,Architecture,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
526,Senior,Java,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
537,Middle,IT Governance,Singapore,,,,,Full time,,,4,Bachelor Degree,204,ITIL,0
537,Middle,IT Governance,Singapore,,,,,Full time,,,4,Bachelor Degree,205,COBIT,0
537,Middle,IT Governance,Singapore,,,,,Full time,,,4,Bachelor Degree,206,PMP,0
537,Middle,IT Governance,Singapore,,,,,Full time,,,4,Bachelor Degree,207,DRM/BCM,0
537,Middle,IT Governance,Singapore,,,,,Full time,,,4,Bachelor Degree,208,ISC2 (CISSP/CCSP/SSCP),0
539,Middle,IT Support,Singapore,,3500,5000,SGD,Full time,,,,Bachelor Degree,,,
544,Senior,Digital Technologies,Singapore,,6000,12000,SGD,Full time,Office,,10,Bachelor Degree,,,
554,Senior,Java,Singapore,,9000,13000,SGD,Full time,Hybrid,,5,Bachelor Degree,,,
609,Middle,DevOps,Singapore,,,,,Full time,,,,Bachelor Degree,248,Microsoft (except Azure),0
621,Middle,Software,Singapore,,4000,6000,SGD,Full time,,,5,Bachelor Degree,,,
638,Middle,Web Development,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
676,Senior,Nginx,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
775,Middle,Microsoft,Singapore,,4000,6000,SGD,Full time,,,3,Bachelor Degree,,,
786,Senior,Architecture,Singapore,,,,SGD,Full time,,,8,Bachelor Degree,338,Security certification,0
860,Middle,Business Analytics,Singapore,,3000,3400,SGD,Contract/Temp,,,,Bachelor Degree,366,Certification in business analytics or related fields,0
893,,,Singapore,,5000,5000,SGD,Full time,,,2,Bachelor Degree,,,
919,Middle,Networks,Singapore,,4300,5000,SGD,Full time,,,5,Bachelor Degree,403,Cisco (CCNA/CCNP/CCIE),1
919,Middle,Networks,Singapore,,4300,5000,SGD,Full time,,,5,Bachelor Degree,404,Cisco (CCNA/CCNP/CCIE),1
919,Middle,Networks,Singapore,,4300,5000,SGD,Full time,,,5,Bachelor Degree,405,AWS,0
938,Senior,Life Insurance,Singapore,,7000,9500,SGD,Full time,,,4,Bachelor Degree,,,
939,Senior,AI,Singapore,,6000,10000,,Full time,,Yes,5,Bachelor Degree,454,PMP,0
939,Senior,AI,Singapore,,6000,10000,,Full time,,Yes,5,Bachelor Degree,455,Scrum master,0
974,Senior,Low Code Development,Singapore,,,,,Full time,,,8,Bachelor Degree,,,
985,Senior,DevOps,Singapore,,,,,Full time,,,6,Bachelor Degree,,,
987,Senior,D365,Singapore,,7000,10000,SGD,Full time,,,,Bachelor Degree,,,
998,Senior,Enterprise Applications,Singapore,,,,,Full time,,,12,Bachelor Degree,,,
1043,Senior,Cyber Security,Singapore,,,,,Contract/Temp,,,2,Bachelor Degree,482,ISC2 (CISSP/CCSP/SSCP),0
1043,Senior,Cyber Security,Singapore,,,,,Contract/Temp,,,2,Bachelor Degree,483,OffSec (OSCP),0
1074,Senior,IT Management,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
1079,Senior,Data Protection,Singapore,,4000,6000,SGD,Full time,,,2,Bachelor Degree,,,
1113,Lead,Adobe Experience Manager,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
1118,Senior,GPU Cloud,Singapore,,8000,12000,SGD,Full time,,,5,Bachelor Degree,,,
1126,Senior,Cyber Security,Singapore,,,,,Full time,,,10,Bachelor Degree,,,
1164,Middle,Maximo,Singapore,,,,,Full time,,,4,Bachelor Degree,,,
1169,Senior,SAP FI,Singapore,,,,,Full time,,,6,Bachelor Degree,,,
1193,Senior,Project Management,Singapore,,,,,Full time,,,8,Bachelor Degree,557,PMP,0
1193,Senior,Project Management,Singapore,,,,,Full time,,,8,Bachelor Degree,558,CITPM,0
1217,Senior,Threat Hunting,Singapore,,,,,Full time,,,3,Bachelor Degree,576,GCIH,1
1217,Senior,Threat Hunting,Singapore,,,,,Full time,,,3,Bachelor Degree,577,GCIA,1
1217,Senior,Threat Hunting,Singapore,,,,,Full time,,,3,Bachelor Degree,578,GMON,1
1254,,Microsoft Dynamics,Singapore,,6000,9000,SGD,Full time,,,5,Bachelor Degree,593,Microsoft (except Azure),1
1260,Senior,Linux,Singapore,,4000,5000,SGD,Full time,,,,Bachelor Degree,,,
1283,Senior,Data Engineering,Singapore,,,,,Full time,Hybrid,,5,Bachelor Degree,608,AWS,0
1290,Senior,DevOps,Singapore,,,,,Full time,Hybrid,,5,Bachelor Degree,615,LLM ops,0
1290,Senior,DevOps,Singapore,,,,,Full time,Hybrid,,5,Bachelor Degree,616,ML ops,0
1303,Lead,DevOps,Singapore,,,,,Full time,Hybrid,,12,Bachelor Degree,625,LLM ops,0
1303,Lead,DevOps,Singapore,,,,,Full time,Hybrid,,12,Bachelor Degree,626,ML ops,0
1305,Middle,Networks & Systems Administration,Singapore,,5500,7200,SGD,Contract/Temp,Office,,3,Bachelor Degree,,,
1308,Middle,Unix,Singapore,,4000,6000,SGD,Full time,,,2,Bachelor Degree,,,
1317,Middle,Networks & Systems Administration,Singapore,,3600,5400,SGD,Full time,,No,,Bachelor Degree,,,
1343,Middle,Business Analysis,Singapore,,4000,5000,SGD,Full time,,,3,Bachelor Degree,,,
1345,Middle,Business Analytics,Singapore,,3200,3400,SGD,Contract/Temp,,,,Bachelor Degree,652,Certification in business analytics or related fields,0
1425,Middle,Blockchain,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
1437,Middle,Android,Singapore,,4000,5000,SGD,Full time,,,,Bachelor Degree,,,
1442,Middle,Business Analytics,Singapore,,2800,3400,SGD,Contract/Temp,,,,Bachelor Degree,,,
1453,Junior,Cloud,Singapore,,5000,6500,SGD,Contract/Temp,,,,Bachelor Degree,,,
1464,,Sales - Pre & Post (Information & Communication Technology),Singapore,,,,,Full time,Office,,,Bachelor Degree,,,
1490,Middle,Networks,Singapore,,,,,Full time,,,5,Bachelor Degree,733,Cisco (CCNA/CCNP/CCIE),1
1490,Middle,Networks,Singapore,,,,,Full time,,,5,Bachelor Degree,734,Cisco (CCNA/CCNP/CCIE),1
1491,Senior,Data Centre Operations,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
1582,Middle,IT Support,Singapore,,6500,7500,SGD,Contract/Temp,,,2,Bachelor Degree,,,
1589,Senior,Product Management,Singapore,,,,,Full time,,,2,Bachelor Degree,,,
1660,Senior,MS 365,Singapore,,3667,5500,SGD,Full time,,,,Bachelor Degree,848,PMP,0
1733,Middle,Security,Singapore,,4500,5900,SGD,Contract/Temp,,,3,Bachelor Degree,,,
1738,Senior,Full Stack,Singapore,,,,,Full time,,,,Bachelor Degree,,,
1751,,Data,Singapore,,,,,Full time,,,,Bachelor Degree,,,
1806,Junior,Network,Singapore,,,,,Full time,,,,Bachelor Degree,,,
1905,Senior,Network,Singapore,,,,,Full time,,,6,Bachelor Degree,970,ITIL,0
1905,Senior,Network,Singapore,,,,,Full time,,,6,Bachelor Degree,971,Cisco (CCNA/CCNP/CCIE),0
1905,Senior,Network,Singapore,,,,,Full time,,,6,Bachelor Degree,972,CWDP,0
1905,Senior,Network,Singapore,,,,,Full time,,,6,Bachelor Degree,973,Cisco (CCNA/CCNP/CCIE),0
1907,Junior,Blockchain,Singapore,,,,,Full time,,,,Bachelor Degree,,,
1986,Senior,IT Infrastructure,Singapore,,,,,Full time,,,5,Bachelor Degree,1009,ISC2 (CISSP/CCSP/SSCP),0
1986,Senior,IT Infrastructure,Singapore,,,,,Full time,,,5,Bachelor Degree,1010,ITIL,0
1986,Senior,IT Infrastructure,Singapore,,,,,Full time,,,5,Bachelor Degree,1011,CBCP,0
1986,Senior,IT Infrastructure,Singapore,,,,,Full time,,,5,Bachelor Degree,1012,ISACA (CISA/CISM/CRISC),0
2003,Senior,Java,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
2024,Middle,Linux,Singapore,,,,,Full time,,,,Bachelor Degree,1039,Cisco (CCNA/CCNP/CCIE),0
2027,Middle,,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
2035,Middle,HPC,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
2040,Senior,Laboratory Services,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
2041,Middle,,Singapore,,,,,Full time,,,,Bachelor Degree,,,
2081,Middle,HPC Storage,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
2108,Senior,Power BI,Singapore,,,,,Full time,,,2,Bachelor Degree,,,
2112,Middle,Healthcare IT,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
2114,Middle,Infra,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
2140,Junior,Digital Diagnostics,Singapore,,,,,Full time,,,,Bachelor Degree,,,
2149,Middle,Digital Health,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
2160,Senior,Network Engineering,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
2167,Middle,IMT,Singapore,,,,,Full time,,,,Bachelor Degree,,,
2188,Junior,Flutter,Singapore,,,,,Full time,,,1,Bachelor Degree,,,
2207,Senior,.NET,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
2251,Senior,AWS,Singapore,,,,,Full time,,,3,Bachelor Degree,1110,Cisco (CCNA/CCNP/CCIE),1
2291,Junior,Biological Science,Singapore,,,,,Full time,,,0,Bachelor Degree,,,
2298,Middle,SAP FICO,Singapore,,6500,7000,SGD,Full time,,,5,Bachelor Degree,,,
2334,Middle,Cyber Security,Singapore,,5000,7500,SGD,Full time,,,,Bachelor Degree,1153,ISC2 (CISSP/CCSP/SSCP),0
2334,Middle,Cyber Security,Singapore,,5000,7500,SGD,Full time,,,,Bachelor Degree,1154,GCIH,0
2343,,Data Engineering,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
2393,Senior,Banking & Market,Singapore,,4000,5000,SGD,Contract/Temp,,,3,Bachelor Degree,,,
2431,Lead,,Singapore,,3000,4000,SGD,Full time,,,3,Bachelor Degree,,,
2473,Senior,Java,Singapore,,6800,8500,,Full time,Office,,5,Bachelor Degree,,,
2583,Middle,ReactJS,Singapore,,4500,6500,SGD,Full time,Hybrid,,,Bachelor Degree,,,
2598,Middle,Automation,Singapore,,,,,Full time,,,,Bachelor Degree,,,
2630,Middle,Java,Singapore,,7000,7500,SGD,Full time,,,5,Bachelor Degree,,,
2676,Middle,Java,Singapore,,6500,8500,SGD,Full time,Office,,3,Bachelor Degree,,,
2688,Middle,Network Administration,Singapore,,3000,4000,SGD,Full time,,,2,Bachelor Degree,,,
2691,Middle,Automation,Singapore,,,,,Full time,,,2,Bachelor Degree,1346,Technical Test Analyst,0
2691,Middle,Automation,Singapore,,,,,Full time,,,2,Bachelor Degree,1347,Test Manager,0
2697,Senior,.NET,Singapore,,,,,Full time,,,,Bachelor Degree,,,
2734,Middle,Business Analysis,Singapore,,4000,6000,SGD,Full time,,,2,Bachelor Degree,,,
2748,Middle,System,Singapore,,4500,6500,SGD,Full time,,,6,Bachelor Degree,1363,CompTIA (A+/Network+/Linux+/Security+),0
2748,Middle,System,Singapore,,4500,6500,SGD,Full time,,,6,Bachelor Degree,1364,CompTIA (A+/Network+/Linux+/Security+),0
2748,Middle,System,Singapore,,4500,6500,SGD,Full time,,,6,Bachelor Degree,1365,Microsoft (except Azure),0
2798,Middle,Network Security,Singapore,,4000,6000,SGD,Full time,,,3,Bachelor Degree,,,
