jobid,level,tech_specialisation,country,state,salary_from,salary_to,currency,type,mode,visa_sponsorship,work_experience_years,education_level,cert_id,certification_text,is_mandatory
17710,Senior,Network Infrastructure,Singapore,,,,,Full time,,,5,Bachelor Degree,7898,Cisco (CCNA/CCNP/CCIE),1
17710,Senior,Network Infrastructure,Singapore,,,,,Full time,,,5,Bachelor Degree,7899,HCIA,1
17723,,Python,Singapore,,,,,Contract/Temp,,,3,Bachelor Degree,,,
17871,Middle,Software Engineering,Singapore,,4000,6000,SGD,Full time,,,3,Bachelor Degree,,,
17906,Middle,Tagetik,Singapore,,,,,Contract/Temp,,,4,Bachelor Degree,7966,CCH Tagetik,0
17969,Middle,Video Cloud,Singapore,,,,,Full time,,,,Bachelor Degree,,,
17970,Junior,Check Point/Tufin,Singapore,,4000,5500,SGD,Full time,,,1,Bachelor Degree,,,
17975,Senior,Technical Support,Singapore,,7000,10000,SGD,Full time,Office,,6,Bachelor Degree,,,
17984,Middle,IT Security,Singapore,,4500,6500,SGD,Full time,,,3,Bachelor Degree,7992,ISACA (CISA/CISM/CRISC),0
17984,Middle,IT Security,Singapore,,4500,6500,SGD,Full time,,,3,Bachelor Degree,7993,ISACA (CISA/CISM/CRISC),0
17984,Middle,IT Security,Singapore,,4500,6500,SGD,Full time,,,3,Bachelor Degree,7994,ISC2 (CISSP/CCSP/SSCP),0
18006,Senior,Configuration Management,Singapore,,9500,,SGD,Contract/Temp,,,5,Bachelor Degree,8005,CMII,0
18006,Senior,Configuration Management,Singapore,,9500,,SGD,Contract/Temp,,,5,Bachelor Degree,8006,ITIL,0
18074,Lead,AWS,Singapore,,,,,Full time,,,10,Bachelor Degree,8015,AWS,0
18074,Lead,AWS,Singapore,,,,,Full time,,,10,Bachelor Degree,8016,Azure,0
18099,Middle,Network Engineering,Singapore,,5000,7500,SGD,Full time,,,,Bachelor Degree,,,
18114,Senior,Cybersecurity,Singapore,,5900,7200,SGD,Full time,Office,,5,Bachelor Degree,8039,ISACA (CISA/CISM/CRISC),1
18114,Senior,Cybersecurity,Singapore,,5900,7200,SGD,Full time,Office,,5,Bachelor Degree,8040,ISC2 (CISSP/CCSP/SSCP),1
18121,Middle,Configuration Management,Singapore,,,,,Full time,,,5,Bachelor Degree,8045,CMII,0
18121,Middle,Configuration Management,Singapore,,,,,Full time,,,5,Bachelor Degree,8046,ITIL,0
18159,Junior,Electrical/Electronics,Singapore,,2800,4000,SGD,Full time,Office,,0,Bachelor Degree,,,
18163,,Automation,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
18166,Middle,GIS,Singapore,,,,,Contract/Temp,,,,Bachelor Degree,,,
18189,Senior,Cybersecurity,Singapore,,,,,Contract/Temp,,,2,Bachelor Degree,8066,EnCE,0
18189,Senior,Cybersecurity,Singapore,,,,,Contract/Temp,,,2,Bachelor Degree,8067,Security Blue Team Level 1,0
18189,Senior,Cybersecurity,Singapore,,,,,Contract/Temp,,,2,Bachelor Degree,8068,CHFI,0
18191,Senior,Automation,Singapore,,,,,Contract/Temp,,,2,Bachelor Degree,8069,UiPath RPA Advanced Developer Certification,1
18191,Senior,Automation,Singapore,,,,,Contract/Temp,,,2,Bachelor Degree,8070,Microsoft (except Azure),1
18192,,Information Security,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
18200,Middle,Cybersecurity,Singapore,,,,,Full time,,,5,Bachelor Degree,8071,ISC2 (CISSP/CCSP/SSCP),0
18200,Middle,Cybersecurity,Singapore,,,,,Full time,,,5,Bachelor Degree,8072,ISACA (CISA/CISM/CRISC),0
18200,Middle,Cybersecurity,Singapore,,,,,Full time,,,5,Bachelor Degree,8073,ISACA (CISA/CISM/CRISC),0
18200,Middle,Cybersecurity,Singapore,,,,,Full time,,,5,Bachelor Degree,8074,CompTIA (A+/Network+/Linux+/Security+),0
18235,Middle,SAP,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
18261,,Autonomous Systems,Singapore,,,,,Full time,,,2,Bachelor Degree,,,
18277,Middle,AI,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
18288,Middle,Embedded Systems,Singapore,,5000,7500,SGD,Full time,,,2,Bachelor Degree,,,
18323,Senior,Middleware,Singapore,,,,,Full time,,No,10,Bachelor Degree,,,
18325,Middle,Firmware,Singapore,,,,,Full time,,,,Bachelor Degree,,,
18374,,,Singapore,,8500,8500,,Full time,,,5,Bachelor Degree,8148,PMP,1
18382,Middle,Cybersecurity,Singapore,,,,,Full time,,,3,Bachelor Degree,8149,CompTIA (A+/Network+/Linux+/Security+),0
18382,Middle,Cybersecurity,Singapore,,,,,Full time,,,3,Bachelor Degree,8150,Certified Ethical Hacker (CEH),0
18390,Lead,.NET,Singapore,,5000,7000,SGD,Full time,,,5,Bachelor Degree,8151,Cloud Solution Architect Associate,0
18390,Lead,.NET,Singapore,,5000,7000,SGD,Full time,,,5,Bachelor Degree,8152,Cloud Solution Developer,0
18391,Lead,SQL,Singapore,,3667,5500,SGD,Full time,,,2,Bachelor Degree,,,
18434,Senior,Ecommerce Recommendation,Singapore,,,,,Full time,,,1,Bachelor Degree,,,
18443,Senior,IT Project Management,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
18462,Junior,Healthcare,Singapore,,3200,4500,SGD,Full time,Office,,1,Bachelor Degree,,,
18469,Middle,Networks,Singapore,,,,,Full time,,,4,Bachelor Degree,,,
18474,Middle,SAP,Singapore,,7000,9000,SGD,Full time,Office,,5,Bachelor Degree,,,
18494,Senior,Systems Management,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
18507,Senior,,Singapore,,12000,12000,SGD,Full time,,,5,Bachelor Degree,,,
18522,Senior,Network,Singapore,,,,,Full time,,,5,Bachelor Degree,8180,Cisco (CCNA/CCNP/CCIE),1
18522,Senior,Network,Singapore,,,,,Full time,,,5,Bachelor Degree,8181,Cisco (CCNA/CCNP/CCIE),0
18534,,Media,Singapore,,4500,5475,SGD,Contract/Temp,,,2,Bachelor Degree,,,
18552,Middle,Microsoft Power Platform,Singapore,,,,,Full time,,,2,Bachelor Degree,,,
18594,Lead,Networks,Singapore,,,,,Full time,,,,Bachelor Degree,8219,Cisco (CCNA/CCNP/CCIE),0
18594,Lead,Networks,Singapore,,,,,Full time,,,,Bachelor Degree,8220,Cisco (CCNA/CCNP/CCIE),0
18594,Lead,Networks,Singapore,,,,,Full time,,,,Bachelor Degree,8221,JNCIA,0
18611,Middle,Networks,Singapore,,,,,Full time,,,1,Bachelor Degree,8232,Cisco (CCNA/CCNP/CCIE),1
18611,Middle,Networks,Singapore,,,,,Full time,,,1,Bachelor Degree,8233,Cisco (CCNA/CCNP/CCIE),1
18611,Middle,Networks,Singapore,,,,,Full time,,,1,Bachelor Degree,8234,Cisco (CCNA/CCNP/CCIE),0
18659,Middle,Robotics,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
18686,Senior,Project Management,Singapore,,10000,15000,SGD,Full time,,,15,Bachelor Degree,8299,PMP,0
18686,Senior,Project Management,Singapore,,10000,15000,SGD,Full time,,,15,Bachelor Degree,8300,PRINCE2,0
18686,Senior,Project Management,Singapore,,10000,15000,SGD,Full time,,,15,Bachelor Degree,8301,Agile,0
18798,Middle,Cyber Security,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
18802,Senior,Agile,Singapore,,7000,9000,SGD,Full time,,,3,Bachelor Degree,8334,SAFe Release Train Engineer (RTE),1
18802,Senior,Agile,Singapore,,7000,9000,SGD,Full time,,,3,Bachelor Degree,8335,Certified Scrum Master (CSM),0
18802,Senior,Agile,Singapore,,7000,9000,SGD,Full time,,,3,Bachelor Degree,8336,PMP,0
18802,Senior,Agile,Singapore,,7000,9000,SGD,Full time,,,3,Bachelor Degree,8337,PRINCE2,0
18812,Middle,Python,Singapore,,,,,Contract/Temp,,,3,Bachelor Degree,,,
18814,Middle,Data Center Networking,Singapore,,,,,Full time,,,4,Bachelor Degree,,,
18817,Senior,Tax Regulatory,Singapore,,,,,Full time,,,8,Bachelor Degree,,,
18828,Middle,Networking,Singapore,,,,,Full time,,,3,Bachelor Degree,8346,HPE/Aruba,0
18828,Middle,Networking,Singapore,,,,,Full time,,,3,Bachelor Degree,8347,Cisco (CCNA/CCNP/CCIE),0
18828,Middle,Networking,Singapore,,,,,Full time,,,3,Bachelor Degree,8348,VMware,0
18930,,Artificial Intelligence,Singapore,,,,,Full time,,Yes,0,Bachelor Degree,,,
18946,Senior,IT Systems,Singapore,,,,,Full time,,,2,Bachelor Degree,,,
18967,Middle,Machine Learning,Singapore,,,,,Full time,,,,Bachelor Degree,,,
18976,Middle,Quality Assurance,Singapore,,,,,Full time,,,3,Bachelor Degree,8414,ISTQB,0
18976,Middle,Quality Assurance,Singapore,,,,,Full time,,,3,Bachelor Degree,8415,ASQ,0
18976,Middle,Quality Assurance,Singapore,,,,,Full time,,,3,Bachelor Degree,8416,PMI,0
19004,Middle,Python,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
19120,Senior,Full Stack,Singapore,,7500,9000,SGD,Full time,,,5,Bachelor Degree,,,
19156,Senior,IT Infrastructure,Singapore,,3300,4800,SGD,Full time,,,3,Bachelor Degree,,,
19250,Senior,Network Security,Singapore,,,,,Full time,,,6,Bachelor Degree,8593,Cisco (CCNA/CCNP/CCIE),1
19250,Senior,Network Security,Singapore,,,,,Full time,,,6,Bachelor Degree,8594,ISC2 (CISSP/CCSP/SSCP),0
19265,Senior,Networks,Singapore,,5400,8000,SGD,Full time,,,5,Bachelor Degree,,,
19286,Senior,Network,Singapore,,,,,Full time,,,,Bachelor Degree,8615,Cisco (CCNA/CCNP/CCIE),0
19286,Senior,Network,Singapore,,,,,Full time,,,,Bachelor Degree,8616,Cisco (CCNA/CCNP/CCIE),0
19286,Senior,Network,Singapore,,,,,Full time,,,,Bachelor Degree,8617,CCDP,0
19286,Senior,Network,Singapore,,,,,Full time,,,,Bachelor Degree,8618,Cisco (CCNA/CCNP/CCIE),0
19286,Senior,Network,Singapore,,,,,Full time,,,,Bachelor Degree,8619,ITIL,0
19286,Senior,Network,Singapore,,,,,Full time,,,,Bachelor Degree,8620,PMP,0
19286,Senior,Network,Singapore,,,,,Full time,,,,Bachelor Degree,8621,CITPM,0
19286,Senior,Network,Singapore,,,,,Full time,,,,Bachelor Degree,8622,ISC2 (CISSP/CCSP/SSCP),0
19286,Senior,Network,Singapore,,,,,Full time,,,,Bachelor Degree,8623,AWS,0
19306,Middle,Firmware Development,Singapore,,7000,10000,SGD,Full time,,,4,Bachelor Degree,,,
19448,Middle,.NET,Singapore,,,,,Contract/Temp,,,3,Bachelor Degree,,,
19477,Middle,Robotics,Singapore,,4500,6000,SGD,Full time,,,2,Bachelor Degree,,,
19504,Middle,Infrastructure,Singapore,,,,,Contract/Temp,,,3,Bachelor Degree,8751,Cisco (CCNA/CCNP/CCIE),0
19504,Middle,Infrastructure,Singapore,,,,,Contract/Temp,,,3,Bachelor Degree,8752,Azure,0
19504,Middle,Infrastructure,Singapore,,,,,Contract/Temp,,,3,Bachelor Degree,8753,VMware,0
19504,Middle,Infrastructure,Singapore,,,,,Contract/Temp,,,3,Bachelor Degree,8754,VMCE (Veeam),0
19504,Middle,Infrastructure,Singapore,,,,,Contract/Temp,,,3,Bachelor Degree,8755,Certified Ethical Hacker (CEH),0
19507,Senior,AWS,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
19604,Middle,SharePoint,Singapore,,5500,7500,SGD,Full time,,,5,Bachelor Degree,,,
19626,,,Singapore,,2800,,SGD,Contract/Temp,,,,Bachelor Degree,,,
19664,Senior,Mobile Application,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
19683,Middle,Data Analytics,Singapore,,5000,6000,SGD,Contract/Temp,,,,Bachelor Degree,,,
19689,Senior,C++,Singapore,,6500,8500,SGD,Full time,,,5,Bachelor Degree,,,
19723,Senior,Project Management,Singapore,,,,,Full time,,,8,Bachelor Degree,,,
19746,Middle,Networks,Singapore,,,,,Full time,,,1,Bachelor Degree,8838,Cisco (CCNA/CCNP/CCIE),1
19746,Middle,Networks,Singapore,,,,,Full time,,,1,Bachelor Degree,8839,Cisco (CCNA/CCNP/CCIE),0
19756,Middle,Java,Singapore,,,,,Full time,,,2,Bachelor Degree,,,
19773,Junior,Mobile Application,Singapore,,,,,Full time,,,1,Bachelor Degree,,,
19777,Senior,MES,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
19957,Junior,Management Consulting,Singapore,,4500,6500,SGD,Full time,,,1,Bachelor Degree,,,
20052,Senior,DevOps,Singapore,,,,,Full time,Office,,,Bachelor Degree,8923,Relevant DevOps certification,1
20052,Senior,DevOps,Singapore,,,,,Full time,Office,,,Bachelor Degree,8924,Agile related certification,1
20052,Senior,DevOps,Singapore,,,,,Full time,Office,,,Bachelor Degree,8925,Cloud platforms and services certification,1
20080,Senior,,Singapore,,,,,Full time,,,4,Bachelor Degree,,,
20103,Senior,Teleoperations,Singapore,,5500,7500,,Full time,,,2,Bachelor Degree,,,
20311,Middle,Applications Support,Singapore,,5500,7000,SGD,Full time,,,5,Bachelor Degree,,,
20331,Middle,Frontend Development,Singapore,,7000,8500,SGD,Full time,,,2,Bachelor Degree,,,
20352,Senior,IT Solution System Development,Singapore,,4100,5200,SGD,Full time,Office,,4,Bachelor Degree,,,
20366,Senior,Artificial Intelligence,Singapore,,4500,6500,SGD,Full time,,,,Bachelor Degree,,,
20401,,Java,Singapore,,7000,9000,SGD,Full time,,,,Bachelor Degree,,,
20416,Senior,Microsoft Azure,Singapore,,4500,6000,SGD,Full time,,,5,Bachelor Degree,9047,Microsoft (except Azure),0
20442,,Automated Semiconductor Equipment,Singapore,,4500,6000,SGD,Full time,Office,,3,Bachelor Degree,,,
20487,Senior,Cloud Computing,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
20496,Middle,IT Support,Singapore,,,,,Full time,Office,,2,Bachelor Degree,,,
20579,,Data Management,Singapore,,,,,Full time,,,,Bachelor Degree,,,
20623,Middle,System Software,Singapore,,,,,Full time,,,,Bachelor Degree,9123,CPRE,0
20637,Senior,Systems Management,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
20645,,Automation Testing,Singapore,,,,,Full time,,,9,Bachelor Degree,9137,Certification in automation systems or related technologies,0
20701,Senior,IT Security,Singapore,,10000,15000,SGD,Full time,,,8,Bachelor Degree,9174,ISACA (CISA/CISM/CRISC),1
20701,Senior,IT Security,Singapore,,10000,15000,SGD,Full time,,,8,Bachelor Degree,9175,ISC2 (CISSP/CCSP/SSCP),1
20701,Senior,IT Security,Singapore,,10000,15000,SGD,Full time,,,8,Bachelor Degree,9176,ISACA (CISA/CISM/CRISC),1
20701,Senior,IT Security,Singapore,,10000,15000,SGD,Full time,,,8,Bachelor Degree,9177,ISACA (CISA/CISM/CRISC),1
20701,Senior,IT Security,Singapore,,10000,15000,SGD,Full time,,,8,Bachelor Degree,9178,Qualified Information Security Professional,1
20701,Senior,IT Security,Singapore,,10000,15000,SGD,Full time,,,8,Bachelor Degree,9179,Certified Ethical Hacker,1
20736,Senior,Software Development,Singapore,,4500,6000,SGD,Contract/Temp,,,2,Bachelor Degree,,,
20782,,Business Analysts,Singapore,,,,,Full time,,,3,Bachelor Degree,9211,Certified Business Analyst,0
20782,,Business Analysts,Singapore,,,,,Full time,,,3,Bachelor Degree,9212,PMP,0
20782,,Business Analysts,Singapore,,,,,Full time,,,3,Bachelor Degree,9213,CITPM,0
20788,,Microsoft 365,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
20828,Senior,.NET,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
20843,Senior,Data Protection,Singapore,,3500,5000,SGD,Full time,,,,Bachelor Degree,,,
20882,Senior,Programme & Project Management,Singapore,,7000,9800,SGD,Full time,,,12,Bachelor Degree,,,
20909,Senior,Project Management,Singapore,,4200,5800,SGD,Full time,,,3,Bachelor Degree,9258,PMP,0
20947,Middle,OutSystems,Singapore,,,,,Full time,,,,Bachelor Degree,,,
20948,Middle,Data Analytics,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
20970,Middle,IT Management,Singapore,,7500,10500,SGD,Full time,,,5,Bachelor Degree,,,
20975,Middle,Oracle,Singapore,,6500,7000,SGD,Full time,,,,Bachelor Degree,,,
20989,,,Singapore,,7000,9000,SGD,Contract/Temp,,,5,Bachelor Degree,,,
21005,Senior,Six Sigma,Singapore,,,,,Full time,,,5,Bachelor Degree,9286,Six Sigma,1
21005,Senior,Six Sigma,Singapore,,,,,Full time,,,5,Bachelor Degree,9287,PMP,1
21005,Senior,Six Sigma,Singapore,,,,,Full time,,,5,Bachelor Degree,9288,ISO,0
21026,Middle,Python,Singapore,,,,,Full time,,,,Bachelor Degree,,,
21037,Senior,Project Management,Singapore,,,,,Full time,,,,Bachelor Degree,,,
21070,,SAP,Singapore,,7000,10000,SGD,Full time,,,5,Bachelor Degree,,,
21098,Senior,IT Infrastructure Management,Singapore,,8500,11000,SGD,Full time,,,8,Bachelor Degree,,,
21121,,,Singapore,,3500,4000,SGD,Full time,,,2,Bachelor Degree,,,
21218,Senior,SAP MM,Singapore,,,,,Full time,,,10,Bachelor Degree,,,
21220,,Natural Language Processing,Singapore,,3500,5000,SGD,Full time,,,,Bachelor Degree,,,
21257,,,Singapore,,,,,Full time,,,,Bachelor Degree,9393,ITIL,0
21291,Senior,Vue,Singapore,,5000,7000,SGD,Full time,,,5,Bachelor Degree,,,
21305,Middle,Data Engineering,Singapore,,,,SGD,Full time,,,4,Bachelor Degree,,,
21377,Middle,Industrial IT,Singapore,,,,,Full time,,Yes,1,Bachelor Degree,,,
21392,Senior,Network Routing & Switching,Singapore,,,,,Full time,,,5,Bachelor Degree,9447,Cisco (CCNA/CCNP/CCIE),1
21523,Senior,Blockchain,Singapore,,,,SGD,Full time,,,5,Bachelor Degree,,,
21583,Lead,ERP,Singapore,,7000,8000,SGD,Full time,,,8,Bachelor Degree,,,
21625,Senior,Operational Technology,Singapore,,,,,Full time,,,4,Bachelor Degree,9562,CITPM,0
21625,Senior,Operational Technology,Singapore,,,,,Full time,,,4,Bachelor Degree,9563,ITIL,0
21625,Senior,Operational Technology,Singapore,,,,,Full time,,,4,Bachelor Degree,9564,ISC2 (CISSP/CCSP/SSCP),0
21625,Senior,Operational Technology,Singapore,,,,,Full time,,,4,Bachelor Degree,9565,ISACA (CISA/CISM/CRISC),0
21625,Senior,Operational Technology,Singapore,,,,,Full time,,,4,Bachelor Degree,9566,COMIT,0
21643,Senior,Security,Singapore,,,,,Full time,,,4,Bachelor Degree,9574,CITPM,0
21643,Senior,Security,Singapore,,,,,Full time,,,4,Bachelor Degree,9575,ITIL,0
21643,Senior,Security,Singapore,,,,,Full time,,,4,Bachelor Degree,9576,ISC2 (CISSP/CCSP/SSCP),0
21643,Senior,Security,Singapore,,,,,Full time,,,4,Bachelor Degree,9577,ISACA (CISA/CISM/CRISC),0
21643,Senior,Security,Singapore,,,,,Full time,,,4,Bachelor Degree,9578,COMIT,0
21695,,AI/ML,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
21704,Senior,Mobile,Singapore,,,,,Full time,,,10,Bachelor Degree,,,
21710,Senior,Finance,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
21721,Middle,Data Engineering,Singapore,,5500,5700,SGD,Full time,,,2,Bachelor Degree,,,
21765,Senior,Unified Collaboration,Singapore,,5000,7000,SGD,Contract/Temp,Hybrid,,3,Bachelor Degree,9634,Cisco (CCNA/CCNP/CCIE),0
21780,Senior,LAMP,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
21781,Senior,Risk,Singapore,,5000,6500,SGD,Full time,,,5,Bachelor Degree,,,
21803,Senior,JavaScript,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
21814,Middle,Python,Singapore,,,,,Full time,,,,Bachelor Degree,,,
21830,Senior,Business Process Transformation,Singapore,,,,,Full time,,,4,Bachelor Degree,,,
21871,Middle,Linux,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
21878,Middle,System Integration,Singapore,,,,,Full time,,,,Bachelor Degree,,,
21879,Lead,MS CRM Dynamics,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
21883,Senior,Cisco,Singapore,,,,,Full time,,,5,Bachelor Degree,9674,Cisco (CCNA/CCNP/CCIE),1
21883,Senior,Cisco,Singapore,,,,,Full time,,,5,Bachelor Degree,9675,NetApp NCDA,1
21883,Senior,Cisco,Singapore,,,,,Full time,,,5,Bachelor Degree,9676,VCIX6-DCV,1
21896,Middle,ASP.NET,Singapore,,,,,Contract/Temp,,,3,Bachelor Degree,,,
21910,Middle,Data Engineering,Singapore,,,,,Full time,,,,Bachelor Degree,,,
21919,Middle,Networks,Singapore,,,,,Full time,,,,Bachelor Degree,,,
21920,Middle,Computer Vision,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
21926,Middle,SAP,Singapore,,,,,Full time,,,5,Bachelor Degree,9690,Six Sigma,0
21934,Middle,Games,Singapore,,,,,Full time,,,2,Bachelor Degree,,,
21953,Senior,Big Data,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
21958,Senior,Blockchain,Singapore,,,,,Full time,,,,Bachelor Degree,,,
21970,Senior,AI Technology,Singapore,,,,,Full time,,,10,Bachelor Degree,,,
21979,Middle,AWS,Singapore,,,,,Full time,,,3,Bachelor Degree,9715,PSP,0
21993,Middle,Data Engineering,Singapore,,,,,Full time,,,2,Bachelor Degree,,,
21999,Senior,Networking,Singapore,,,,,Full time,,,5,Bachelor Degree,9725,Cisco (CCNA/CCNP/CCIE),1
21999,Senior,Networking,Singapore,,,,,Full time,,,5,Bachelor Degree,9726,NetApp certified (NetApp NCDA preferred),1
21999,Senior,Networking,Singapore,,,,,Full time,,,5,Bachelor Degree,9727,VMware,1
22000,Middle,AWS,Singapore,,,,,Full time,,,3,Bachelor Degree,9728,AWS,0
22007,Senior,.NET,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
22008,Middle,Cloud Engineering,Singapore,,6000,7500,SGD,Full time,,,3,Bachelor Degree,,,
22009,Middle,Java,Singapore,,,,,Contract/Temp,,,4,Bachelor Degree,,,
22018,Senior,,Singapore,,8000,12000,SGD,Full time,,,8,Bachelor Degree,,,
22024,Senior,Software Development,Singapore,,,,,Full time,,,8,Bachelor Degree,,,
22032,Lead,,Singapore,,,,,Full time,,,10,Bachelor Degree,9732,Azure,0
22032,Lead,,Singapore,,,,,Full time,,,10,Bachelor Degree,9733,Azure,0
22032,Lead,,Singapore,,,,,Full time,,,10,Bachelor Degree,9734,Azure,0
22032,Lead,,Singapore,,,,,Full time,,,10,Bachelor Degree,9735,AWS,0
22032,Lead,,Singapore,,,,,Full time,,,10,Bachelor Degree,9736,AWS,0
22032,Lead,,Singapore,,,,,Full time,,,10,Bachelor Degree,9737,AWS,0
22033,Middle,IOT,Singapore,,,,,Full time,Office,,3,Bachelor Degree,,,
22035,Middle,IT Operations,Singapore,,,,,Full time,,,,Bachelor Degree,,,
22036,Senior,Payments,Singapore,,,,,Full time,,,10,Bachelor Degree,,,
22060,Lead,Cyber Security,Singapore,,,,,Full time,,,5,Bachelor Degree,9744,ISC2 (CISSP/CCSP/SSCP),0
22060,Lead,Cyber Security,Singapore,,,,,Full time,,,5,Bachelor Degree,9745,ISACA (CISA/CISM/CRISC),0
22060,Lead,Cyber Security,Singapore,,,,,Full time,,,5,Bachelor Degree,9746,Certified Ethical Hacker (CEH),0
22060,Lead,Cyber Security,Singapore,,,,,Full time,,,5,Bachelor Degree,9747,GCIH,0
22070,Senior,SAP,Singapore,,,,,Contract/Temp,,,8,Bachelor Degree,,,
22079,Senior,Cyber Security,Singapore,,,,,Full time,,,,Bachelor Degree,,,
22097,Middle,Project Management,Singapore,,,,,Full time,,,1,Bachelor Degree,,,
22102,Senior,IT Management,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
22114,Middle,Frontend Development,Singapore,,,,,Full time,,,,Bachelor Degree,,,
22119,Senior,Project Management,Singapore,,,,,Contract/Temp,,,6,Bachelor Degree,9783,Project Management certification,1
22128,Senior,SAP FICO,Singapore,,,,,Full time,,,7,Bachelor Degree,,,
22152,Middle,OutSystems,Singapore,,,,,Full time,,,5,Bachelor Degree,9801,OutSystems Certification,0
22153,Middle,Murex,Singapore,,,,,Full time,,,2,Bachelor Degree,,,
22163,Middle,Triple A Plus,Singapore,,7500,10000,SGD,Contract/Temp,,,5,Bachelor Degree,9803,CFA,0
22163,Middle,Triple A Plus,Singapore,,7500,10000,SGD,Contract/Temp,,,5,Bachelor Degree,9804,PMP,0
22163,Middle,Triple A Plus,Singapore,,7500,10000,SGD,Contract/Temp,,,5,Bachelor Degree,9805,Business Analyst,0
22243,Senior,Enterprise Applications,Singapore,,,,,Full time,Office,,8,Bachelor Degree,9842,PMP,1
22243,Senior,Enterprise Applications,Singapore,,,,,Full time,Office,,8,Bachelor Degree,9843,Scrum Master,1
22266,Senior,,Singapore,,3000,4000,SGD,Full time,,,,Bachelor Degree,,,
22322,Middle,React,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
22347,Middle,Maritime IT,Singapore,,,,,Full time,,,,Bachelor Degree,,,
22354,Senior,Storage Services,Singapore,,,,,Full time,,,8,Bachelor Degree,9879,PMP,0
22354,Senior,Storage Services,Singapore,,,,,Full time,,,8,Bachelor Degree,9880,ITIL,0
22354,Senior,Storage Services,Singapore,,,,,Full time,,,8,Bachelor Degree,9881,AWS,0
22354,Senior,Storage Services,Singapore,,,,,Full time,,,8,Bachelor Degree,9882,Azure,0
22354,Senior,Storage Services,Singapore,,,,,Full time,,,8,Bachelor Degree,9883,ISC2 (CISSP/CCSP/SSCP),0
22355,Middle,Industrial Automation,Singapore,,99200,181200,SGD,Full time,Remote,,3,Bachelor Degree,9884,PMP,0
22360,Senior,BIM/VDC/CDE,Singapore,,,,,Full time,,,,Bachelor Degree,,,
22395,Senior,ICT & Telecommunications,Singapore,,,,,Full time,,,4,Bachelor Degree,9898,RCDD,0
22395,Senior,ICT & Telecommunications,Singapore,,,,,Full time,,,4,Bachelor Degree,9899,Cisco (CCNA/CCNP/CCIE),0
22395,Senior,ICT & Telecommunications,Singapore,,,,,Full time,,,4,Bachelor Degree,9900,Cisco (CCNA/CCNP/CCIE),0
22395,Senior,ICT & Telecommunications,Singapore,,,,,Full time,,,4,Bachelor Degree,9901,CWNA,0
22395,Senior,ICT & Telecommunications,Singapore,,,,,Full time,,,4,Bachelor Degree,9902,CWDP,0
22399,,Data Strategy,Singapore,,,,,Full time,Hybrid,,4,Bachelor Degree,,,
22400,Middle,Spring Boot,Singapore,,,,,Full time,,,,Bachelor Degree,,,
22405,Senior,Java,Singapore,,,,,Full time,,,10,Bachelor Degree,9909,Certified Professional for Software Architecture (CPSA),0
22405,Senior,Java,Singapore,,,,,Full time,,,10,Bachelor Degree,9910,Certified Software Architect (CSA),0
22405,Senior,Java,Singapore,,,,,Full time,,,10,Bachelor Degree,9911,TOGAF 9 Foundation,0
22405,Senior,Java,Singapore,,,,,Full time,,,10,Bachelor Degree,9912,Certified Enterprise Architect (CEA),0
22405,Senior,Java,Singapore,,,,,Full time,,,10,Bachelor Degree,9913,Federating Enterprise Architecture (FEA) Certification,0
22411,Senior,Project Management,Singapore,,,,,Full time,,,5,Bachelor Degree,9914,PMP,0
22416,Middle,Software Quality Assurance,Singapore,,,,,Full time,,,2,Bachelor Degree,,,
22419,Senior,IT,Singapore,,,,,Full time,,,10,Bachelor Degree,,,
22439,Middle,E-commerce,Singapore,,,,,Full time,Office,No,3,Bachelor Degree,,,
22441,Senior,,Singapore,,2500,3300,SGD,Full time,,,,Bachelor Degree,,,
22445,Middle,Data Engineering,Singapore,,,,,Contract/Temp,,,2,Bachelor Degree,,,
