jobid,level,tech_specialisation,country,state,salary_from,salary_to,currency,type,mode,visa_sponsorship,work_experience_years,education_level
8042,Junior,Product Operations,Thailand,,,,,Full time,,,,Bachelor Degree
8044,,User Support,Hong Kong,,,,,Full time,,,6,Bachelor Degree
8047,Middle,ICT,Philippines,,,,,Full time,,,5,Bachelor Degree
8049,Senior,Programme & Project Management,Singapore,,,,,Full time,,,3,Bachelor Degree
8050,Middle,,Philippines,,25000,35000,PHP,Contract/Temp,,,2,Bachelor Degree
8052,Middle,Testing,Philippines,,,,,Full time,,,,Bachelor Degree
8054,Middle,Product Management,Philippines,,,,,Full time,,,1,Bachelor Degree
8055,Middle,Project Management,Philippines,,,,,Full time,Hybrid,,5,Bachelor Degree
8057,Middle,SIEM,Australia,NSW,,,,Contract/Temp,,,3,Bachelor Degree
8060,Lead,SAP FICA,Singapore,,8000,11000,SGD,Contract/Temp,,,,Bachelor Degree
8062,Senior,6 Sigma,Malaysia,,,,,Full time,,,5,Bachelor Degree
8063,Middle,.NET,Philippines,,,,,Full time,Hybrid,,5,Bachelor Degree
8065,Middle,QA,Thailand,,,,,Full time,Hybrid,,,Bachelor Degree
8073,Junior,Automation,Philippines,,,,,Full time,,,,Bachelor Degree
8074,Middle,Data Platform,Singapore,,,,,Full time,,,5,Bachelor Degree
8079,Senior,Finance,Singapore,,10000,13000,SGD,Full time,,,10,Bachelor Degree
8080,Middle,Network Management,Philippines,,,,,Full time,,,,Bachelor Degree
8087,Senior,AWS,Malaysia,,,,,Full time,,,,Bachelor Degree
8095,Junior,IT Audit,Thailand,,,,,Full time,Hybrid,,0,Bachelor Degree
8099,Middle,PHP,Indonesia,,,,,Full time,,,2,Bachelor Degree
8100,Senior,,Malaysia,,,,,Full time,,,2,Bachelor Degree
8103,Junior,Robotics/IoT,Singapore,,,,,Full time,,,2,Bachelor Degree
8104,Middle,Java,Singapore,,,,,Full time,,,5,Bachelor Degree
8107,,SWIFT,Singapore,,5000,6000,SGD,Contract/Temp,,,2,Bachelor Degree
8112,Middle,Systems Engineering,Australia,QLD,94000,113000,AUD,Full time,Hybrid,,,Bachelor Degree
8114,Senior,SAP MM,Singapore,,7000,8500,SGD,Full time,,,4,Bachelor Degree
8118,Senior,Digital Business,Thailand,,,,,Contract/Temp,,,,Bachelor Degree
8125,Junior,ERP,Indonesia,,,,,Full time,,,1,Bachelor Degree
8127,Lead,Oracle,Hong Kong,,,,,Full time,,,10,Bachelor Degree
8128,Middle,Ionic Framework,Philippines,,,,,Full time,,,,Bachelor Degree
8129,Senior,Telecommunications,Malaysia,,4000,6000,MYR,Full time,,,2,Bachelor Degree
8138,Junior,Software Testing,Australia,VIC,65000,75000,AUD,Full time,Office,No,,Bachelor Degree
8140,Senior,IT Operations,Australia,NSW,,,,Full time,Hybrid,,5,Bachelor Degree
8141,Senior,C#,New Zealand,,,,,Full time,,,5,Bachelor Degree
8142,Middle,Business Analyst,Philippines,,,,,Full time,,,2,Bachelor Degree
8148,Lead,Mobile Development,Malaysia,,6800,9300,MYR,Full time,,,2,Bachelor Degree
8149,Senior,.NET,Hong Kong,,35000,42000,HKD,Full time,,,3,Bachelor Degree
8150,Senior,,Malaysia,,,,,Contract/Temp,,,3,Bachelor Degree
8154,Senior,Fullstack,Hong Kong,,,,,Full time,,,5,Bachelor Degree
8155,Senior,Customer Success,Australia,QLD,,,,Full time,Hybrid,,10,Bachelor Degree
8158,Senior,Testing,Singapore,,,,,Contract/Temp,,,10,Bachelor Degree
8159,,Software,Singapore,,,,,Full time,,,,Bachelor Degree
8160,Middle,Networks,Philippines,,80000,120000,PHP,Full time,,,4,Bachelor Degree
8165,Middle,IT Support,Hong Kong,,,,,Full time,,,3,Bachelor Degree
8166,Senior,Financial Services/Banking,Philippines,,,,,Full time,,,5,Bachelor Degree
8167,Middle,Front-end development,New Zealand,,,,,Full time,,,3,Bachelor Degree
8169,Senior,Web Development,Philippines,,,,,Full time,,,2,Bachelor Degree
8172,Senior,IT,Singapore,,,,,Contract/Temp,,,15,Bachelor Degree
8175,Senior,Network Engineering,Hong Kong,,32000,40000,HKD,Contract/Temp,,,8,Bachelor Degree
8184,Senior,Cybersecurity,Thailand,,,,,Full time,,,,Bachelor Degree
8190,Lead,,Philippines,,,,,Full time,,,5,Bachelor Degree
8191,Middle,Networks & Systems,Thailand,,,,,Full time,,,2,Bachelor Degree
8192,Middle,Network Administration,Malaysia,,,,,Full time,,,,Bachelor Degree
8194,Middle,Datawarehouse,Singapore,,,,,Contract/Temp,,,4,Bachelor Degree
8195,Middle,,Hong Kong,,,,,Full time,Office,,4,Bachelor Degree
8201,Middle,Technical Support,Philippines,,,,,Full time,Hybrid,,2,Bachelor Degree
8203,Junior,Marketing Research,Indonesia,,,,,Full time,,,,Bachelor Degree
8206,Middle,,Australia,VIC,,,,Full time,,,,Bachelor Degree
8211,Senior,IP Optical Engineer,Thailand,,,,,Full time,,,8,Bachelor Degree
8215,Junior,,Philippines,,,,,Full time,,,,Bachelor Degree
8216,Middle,Project Management,Philippines,,,,,Full time,Remote,,5,Bachelor Degree
8219,Senior,Information Security,Singapore,,7000,12000,SGD,Full time,,,4,Bachelor Degree
8221,Senior,Cybersecurity,Singapore,,8000,12000,SGD,Full time,Office,,5,Bachelor Degree
8222,Middle,SIEM,Singapore,,3500,5200,SGD,Full time,Office,,2,Bachelor Degree
8223,,,Singapore,,6000,9000,SGD,Full time,Office,,8,Bachelor Degree
8224,Middle,IT Support,Indonesia,,,,,Full time,,,3,Bachelor Degree
8229,,Low Code,Australia,NSW,,,,Full time,,No,,Bachelor Degree
8231,Middle,GO,Philippines,,,,,Full time,Remote,,2,Bachelor Degree
8232,,Information Technology,Australia,NSW,,,,Full time,Hybrid,,,Bachelor Degree
8234,,Information Technology,Australia,QLD,,,,Full time,Hybrid,,0,Bachelor Degree
8236,,Golang,Philippines,,,,,Full time,Remote,,2,Bachelor Degree
8239,Middle,Testing & Quality Assurance,Australia,VIC,,,,Full time,Hybrid,,5,Bachelor Degree
8243,Senior,Security,Singapore,,,,,Full time,,,5,Bachelor Degree
8251,Middle,Active Directory,Philippines,,,,,Full time,,,2,Bachelor Degree
8254,Middle,Linux,Malaysia,,,,,Full time,,,5,Bachelor Degree
8255,Senior,iOS,Australia,VIC,,,,Full time,Hybrid,,,Bachelor Degree
8280,Senior,Network Engineering,Hong Kong,,40000,60000,HKD,Full time,,,,Bachelor Degree
8283,Senior,C#,Australia,NSW,,,,Full time,,,3,Bachelor Degree
8285,Middle,Software,Thailand,,,,,Contract/Temp,,,2,Bachelor Degree
8287,,,Thailand,,,,,Full time,,,5,Bachelor Degree
8288,Senior,SAP,Malaysia,,,,,Full time,,,5,Bachelor Degree
8289,Middle,,Australia,VIC,,,,Full time,Hybrid,,3,Bachelor Degree
8294,Senior,SAP eWM,Malaysia,,,,,Full time,Office,,7,Bachelor Degree
8295,Middle,IT Support,Malaysia,,,,,Full time,,,5,Bachelor Degree
8296,Middle,iOS,Malaysia,,,,,Full time,,,,Bachelor Degree
8302,Middle,IT Asset Management,Philippines,,100000,150000,PHP,Full time,Hybrid,,5,Bachelor Degree
8307,Senior,Microsoft 365,Australia,QLD,,,,Full time,,,5,Bachelor Degree
8310,,Glovia G2 ERP,Thailand,,,,,Full time,,,,Bachelor Degree
8311,Senior,PHP,Indonesia,,13000000,15000000,IDR,Full time,,,3,Bachelor Degree
8312,Middle,Software Quality Assurance,Malaysia,,,,,Full time,,,1,Bachelor Degree
8313,Senior,SAP FICO,Philippines,,90000,120000,PHP,Full time,Hybrid,,3,Bachelor Degree
8314,Middle,Application Support,Thailand,,,,,Full time,,,,Bachelor Degree
8318,Middle,ASP.NET,Singapore,,4000,6000,SGD,Contract/Temp,,,,Bachelor Degree
8320,Middle,Azure,Singapore,,5500,7500,SGD,Full time,,,3,Bachelor Degree
8325,Senior,Cloud,Malaysia,,,,,Contract/Temp,,,5,Bachelor Degree
8329,Senior,Blockchain,Malaysia,,6000,9000,MYR,Full time,,,5,Bachelor Degree
8330,Middle,,Indonesia,,,,,Full time,,,,Bachelor Degree
8331,Middle,Cybersecurity,Thailand,,,,,Full time,,,5,Bachelor Degree
8333,Middle,System Support,Thailand,,,,,Full time,,,3,Bachelor Degree
8336,Senior,Digital Records Management,Philippines,,,,,Full time,Hybrid,,4,Bachelor Degree
8340,Senior,Project Management,Thailand,,,,,Full time,,,1,Bachelor Degree
8341,Middle,SQL,Philippines,,,,,Full time,,,,Bachelor Degree
8342,,Data Analysis,Indonesia,,,,,Full time,,,1,Bachelor Degree
8343,,,Hong Kong,,25000,35000,HKD,Full time,,,,Bachelor Degree
8344,Senior,Location Intelligence,Philippines,,,,,Full time,Remote,,5,Bachelor Degree
8346,Middle,Firmware,New Zealand,,80000,120000,NZD,Full time,Hybrid,,2,Bachelor Degree
8352,Junior,Power BI,Singapore,,1000,1200,SGD,Contract/Temp,,,,Bachelor Degree
8353,Senior,PMO,Thailand,,,,,Full time,Office,,3,Bachelor Degree
8357,Middle,IT Service Management,Philippines,,,,,Full time,,,3,Bachelor Degree
8362,Middle,SAP,Malaysia,,,,,Full time,,,5,Bachelor Degree
8364,Middle,Power BI,Philippines,,,,,Full time,Office,,,Bachelor Degree
8365,Senior,Sales,Thailand,,,,,Full time,,,10,Bachelor Degree
8366,Middle,SAP,Malaysia,,,,,Full time,Office,,5,Bachelor Degree
8369,,.NET,New Zealand,,,,,Full time,,,3,Bachelor Degree
8370,Junior,Networking,Malaysia,,,,,Full time,,,2,Bachelor Degree
8374,Middle,Microsoft 365,Thailand,,,,,Full time,,,,Bachelor Degree
8375,Middle,Database,Hong Kong,,,,,Full time,Office,,,Bachelor Degree
8383,Middle,Software Engineering,Australia,NSW,140000,160000,AUD,Full time,,No,3,Bachelor Degree
8384,Senior,Infrastructure,Australia,VIC,105000,115000,AUD,Full time,,,7,Bachelor Degree
8392,Senior,API Gateway,Thailand,,,,,Full time,Office,,,Bachelor Degree
8393,,,Thailand,,,,,Full time,,,1,Bachelor Degree
8394,Middle,SQL,Hong Kong,,,,,Full time,,,8,Bachelor Degree
8395,Senior,Security,Singapore,,,,,Full time,,,5,Bachelor Degree
8397,Middle,React,Thailand,,,,,Full time,,,2,Bachelor Degree
8399,Middle,AI,Australia,NSW,,,,Full time,,,,Bachelor Degree
8400,Middle,PowerBI,Philippines,,,,,Full time,,,,Bachelor Degree
8401,Middle,System Analysis,Thailand,,,,,Full time,Office,,5,Bachelor Degree
8403,Middle,ICT,Australia,SA,,,,Full time,,No,3,Bachelor Degree
8404,Junior,Cache',Thailand,,,,,Full time,Office,,,Bachelor Degree
8406,Middle,Artificial Intelligence,Singapore,,7500,9000,SGD,Full time,Hybrid,,5,Bachelor Degree
8409,Middle,,Thailand,,,,,Full time,,,2,Bachelor Degree
8414,Middle,IoT,Australia,QLD,,,,Full time,Hybrid,,,Bachelor Degree
8415,Junior,,Philippines,,,,,Full time,Office,,1,Bachelor Degree
8416,Senior,IT Support,Hong Kong,,25000,30000,HKD,Full time,,,3,Bachelor Degree
8425,Middle,SalesForce,Singapore,,,,,Full time,Hybrid,,5,Bachelor Degree
8428,,Cyberattack,Philippines,,,,,Full time,Office,,3,Bachelor Degree
8430,Senior,Cyber,Australia,QLD,,,,Full time,,,,Bachelor Degree
8431,,Software Development,Philippines,,,,,Full time,,,,Bachelor Degree
8434,Junior,Technical Support,Thailand,,,,,Full time,,,0,Bachelor Degree
8438,Senior,Cybersecurity,Singapore,,,,,Full time,,,8,Bachelor Degree
8444,Senior,Power BI,Philippines,,,,,Full time,Hybrid,,6,Bachelor Degree
8446,Senior,Cybersecurity,Singapore,,,,,Full time,,,5,Bachelor Degree
8451,Middle,System Administration,Malaysia,,,,,Full time,,,5,Bachelor Degree
8454,Senior,ERP,Australia,VIC,,,,Full time,,,5,Bachelor Degree
8464,Middle,Superconducting Nanowire Single Photon Detectors,Singapore,,,,,Full time,,,2,Bachelor Degree
8466,Senior,Java,Singapore,,,,,Full time,,,8,Bachelor Degree
8467,Middle,Tableau,Philippines,,,,,Full time,,,3,Bachelor Degree
8468,Middle,Telco Procurement,Malaysia,,3400,4600,MYR,Full time,,,,Bachelor Degree
8472,Middle,Windows,Philippines,,16500,20000,PHP,Full time,,,,Bachelor Degree
8475,Middle,Security Operations,Philippines,,80000,120000,PHP,Full time,,,3,Bachelor Degree
8477,Junior,Linux,Philippines,,,,,Full time,Office,,1,Bachelor Degree
8480,Junior,Data Analytics,Singapore,,,,,Part time,,,,Bachelor Degree
8482,Middle,Software Development,Indonesia,,,,,Full time,,,2,Bachelor Degree
8486,,Product Management & Development,Thailand,,30000,35000,THB,Full time,Office,,,Bachelor Degree
8488,,,Thailand,,30000,45000,THB,Full time,,,1,Bachelor Degree
8490,Senior,Python,Philippines,,140000,200000,PHP,Full time,Remote,,8,Bachelor Degree
8495,Senior,IT Support,Malaysia,,4000,6000,MYR,Full time,,,2,Bachelor Degree
8498,Middle,Web Scraping,Philippines,,,,,Full time,Remote,,,Bachelor Degree
8500,Middle,iOS,Thailand,,40000,60000,THB,Full time,Hybrid,,4,Bachelor Degree
8503,Senior,Cloud,Australia,VIC,,,,Full time,,,2,Bachelor Degree
8512,Senior,Business Analyst,Indonesia,,,,,Full time,,,5,Bachelor Degree
8515,Middle,Financial Services,Australia,NSW,140000,160000,AUD,Full time,,,,Bachelor Degree
8520,,Information Technology,Hong Kong,,,,,Full time,,,2,Bachelor Degree
8521,Senior,,Singapore,,,,,Full time,,,3,Bachelor Degree
8525,Senior,Azure,Australia,NSW,,,,Full time,,,4,Bachelor Degree
8527,Senior,Google Cloud Platform (GCP),Malaysia,,,,,Full time,,,5,Bachelor Degree
8529,Middle,JavaScript,Hong Kong,,35000,45000,HKD,Contract/Temp,,,7,Bachelor Degree
8535,Middle,Microsoft Power Platform,Australia,NSW,,,,Full time,Hybrid,,,Bachelor Degree
8536,,Databricks,Australia,QLD,,,,Full time,Hybrid,,3,Bachelor Degree
8538,Middle,Infrastructure,Indonesia,,,,,Full time,,,2,Bachelor Degree
8541,Senior,IT Support,Philippines,,25000,25000,,Full time,,,4,Bachelor Degree
8542,Senior,E-commerce,Singapore,,,,,Full time,,,3,Bachelor Degree
8546,Lead,Kubernetes,Philippines,,,,,Full time,,,3,Bachelor Degree
8548,Senior,Graph,Malaysia,,6700,10000,MYR,Full time,,,3,Bachelor Degree
8551,Lead,Java,Malaysia,,,,,Full time,,,2,Bachelor Degree
8558,Middle,IT Service Management,Australia,QLD,,,,Contract/Temp,,,,Bachelor Degree
8560,Middle,Solar Energy,Philippines,,38000,48000,PHP,Full time,,,5,Bachelor Degree
8561,Senior,Google Cloud Platform,Malaysia,,,,,Full time,,,,Bachelor Degree
8567,,MRO EBG,Malaysia,,,,,Contract/Temp,,,3,Bachelor Degree
8572,Middle,Microsoft Dynamics 365,Philippines,,,,,Full time,,,2,Bachelor Degree
8573,Middle,Google Compute Engine,Philippines,,,,,Full time,,,2,Bachelor Degree
8574,Senior,Robotics,Singapore,,,,,Full time,,,2,Bachelor Degree
8576,Middle,Microsoft Dynamics 365,Philippines,,,,,Full time,,,2,Bachelor Degree
8578,Middle,Network Engineering,Australia,NSW,,,,Full time,,,5,Bachelor Degree
8579,Senior,Artificial Intelligence,Malaysia,,,,,Full time,,,3,Bachelor Degree
8581,Senior,MS D365,Philippines,,,,,Full time,,,2,Bachelor Degree
8587,Junior,Sustainability,Malaysia,,,,,Full time,,,,Bachelor Degree
8588,,Programme & Project Management,Malaysia,,,,,Full time,,,4,Bachelor Degree
8589,Middle,Accounting,Australia,NSW,,,,Full time,,,,Bachelor Degree
8590,Middle,,Malaysia,,,,,Full time,,,3,Bachelor Degree
8598,Senior,AWS,Malaysia,,,,,Full time,,,,Bachelor Degree
8599,,IT,Indonesia,,,,,Full time,,,3,Bachelor Degree
8600,Middle,Java,Philippines,,,,,Full time,Remote,,5,Bachelor Degree
8602,Senior,Security,Australia,VIC,165000,165000,AUD,Full time,Hybrid,,,Bachelor Degree
8606,Middle,Satcom,Singapore,,,,,Full time,,,4,Bachelor Degree
8608,Junior,,Malaysia,,700,1000,MYR,Full time,,,,Bachelor Degree
8610,Middle,Enterprise Solutions,Singapore,,4000,6000,SGD,Full time,,,,Bachelor Degree
8617,,Business Intelligence,Philippines,,,,,Full time,Remote,,3,Bachelor Degree
8618,Middle,,Philippines,,,,,Full time,,,,Bachelor Degree
8619,Senior,ServiceNow,Singapore,,,,,Full time,,,5,Bachelor Degree
8620,Middle,JavaScript,Singapore,,,,,Contract/Temp,,,3,Bachelor Degree
8624,Middle,IT Solution Industry,Philippines,,30000,40000,,Full time,,,3,Bachelor Degree
8625,Middle,Azure,Philippines,,108000,140000,PHP,Full time,Hybrid,,4,Bachelor Degree
8628,Senior,Linux,Hong Kong,,,,,Full time,,,5,Bachelor Degree
8630,Junior,IT Systems,Malaysia,,,,,Full time,,,1,Bachelor Degree
8632,Middle,PHP,Philippines,,40000,50000,PHP,Full time,,,5,Bachelor Degree
8635,Middle,ICT,Australia,WA,90200,98600,AUD,Full time,Hybrid,,,Bachelor Degree
8646,Senior,Project Management,Philippines,,100000,120000,PHP,Contract/Temp,Hybrid,,5,Bachelor Degree
8647,Middle,GRC,Australia,NSW,,,,Contract/Temp,,,3,Bachelor Degree
8651,Middle,IT Service Delivery,Malaysia,,,,,Contract/Temp,,,2,Bachelor Degree
8653,Middle,IT Management,Philippines,,35000,47000,,Full time,,,5,Bachelor Degree
8657,Middle,DevOps,Singapore,,,,,Contract/Temp,,,3,Bachelor Degree
8659,Middle,ERP,Philippines,,,,,Full time,,,2,Bachelor Degree
8661,Junior,Testing & Quality Assurance,Indonesia,,,,,Full time,,,1,Bachelor Degree
8664,Senior,Testing,Thailand,,,,,Full time,,,7,Bachelor Degree
8665,Junior,,Philippines,,,,,Full time,Office,,,Bachelor Degree
8666,Junior,,Philippines,,10645,10645,,Full time,,,,Bachelor Degree
8667,Middle,API Integration,Australia,QLD,,,,Full time,Hybrid,,4,Bachelor Degree
8673,,,Philippines,,,,,Full time,,,,Bachelor Degree
8679,Senior,Aerospace Engineering,Singapore,,,,,Full time,,,10,Bachelor Degree
8680,Middle,Blockchain,Malaysia,,7000,10000,MYR,Full time,,Yes,2,Bachelor Degree
8683,Senior,AS400,Singapore,,,,,Full time,,,9,Bachelor Degree
8684,Senior,Network,Philippines,,,,,Full time,,,8,Bachelor Degree
8687,Senior,Azure,New Zealand,,150000,180000,NZD,Full time,Office,,5,Bachelor Degree
8688,Middle,Cybersecurity,Philippines,,,,,Full time,,,3,Bachelor Degree
8692,Senior,Python,Malaysia,,6000,9000,MYR,Full time,,,5,Bachelor Degree
8693,Middle,IT Support,Malaysia,,,,,Contract/Temp,,,2,Bachelor Degree
8695,Middle,Software Development,Malaysia,,3500,4000,MYR,Full time,Office,,2,Bachelor Degree
8696,Junior,IT Project Management,Hong Kong,,,,,Full time,Office,,1,Bachelor Degree
8697,Senior,Disaster Recovery,Singapore,,,,,Full time,,,5,Bachelor Degree
8698,Lead,Quality Assurance,Indonesia,,,,,Full time,,,,Bachelor Degree
8705,Senior,IT Service Management,Philippines,,100000,120000,PHP,Contract/Temp,Hybrid,,5,Bachelor Degree
8707,Senior,Linux System Admin,Philippines,,,,,Full time,,,5,Bachelor Degree
8710,Junior,IT Support,Indonesia,,,,,Full time,,,1,Bachelor Degree
8719,Senior,,Philippines,,,,,Full time,,,7,Bachelor Degree
8725,Middle,.NET,Philippines,,60000,70000,,Full time,,,5,Bachelor Degree
8727,Junior,IT Support,Philippines,,,,,Full time,,,1,Bachelor Degree
8728,Middle,.NET,Singapore,,,,,Full time,,,2,Bachelor Degree
8729,Senior,Cyber Security,Singapore,,,,,Full time,Hybrid,,8,Bachelor Degree
8730,Middle,Automation,Singapore,,,,,Full time,,,,Bachelor Degree
8733,Middle,,Philippines,,,,,Full time,Hybrid,,1,Bachelor Degree
8735,Middle,DevOps,Australia,QLD,,,,Full time,Hybrid,,,Bachelor Degree
8737,Middle,,Philippines,,,,,Full time,,,,Bachelor Degree
8740,Middle,Quantitative Development,Singapore,,,,,Full time,Office,,,Bachelor Degree
8743,Middle,Java,Singapore,,,,,Full time,,,,Bachelor Degree
8744,Senior,Product Management,Thailand,,,,,Full time,,,5,Bachelor Degree
8746,Middle,Cyber Security,Thailand,,,,,Full time,,,2,Bachelor Degree
8748,Senior,IT Project Management,Singapore,,6500,9500,SGD,Full time,,,15,Bachelor Degree
8752,Junior,HealthTech,Singapore,,,,,Full time,Hybrid,,1,Bachelor Degree
8754,Middle,Crystal Reports,Philippines,,100000,150000,PHP,Contract/Temp,Hybrid,,7,Bachelor Degree
8756,Middle,Oracle Data Integrator (ODI),Philippines,,,,,Full time,Hybrid,,,Bachelor Degree
8760,Middle,PL/SQL,Philippines,,50000,,PHP,Full time,Office,,3,Bachelor Degree
8761,Middle,,Philippines,,14000,15000,,Full time,,,,Bachelor Degree
8762,,Software Solutions,Philippines,,18554,,,Full time,,,,Bachelor Degree
8764,Senior,DevOps,Philippines,,,,,Full time,Hybrid,,5,Bachelor Degree
8769,Middle,Blockchain,Indonesia,,,,,Full time,Remote,,5,Bachelor Degree
8771,Senior,,Indonesia,,,,,Part time,,,4,Bachelor Degree
8772,Lead,Project Management,Indonesia,,,,,Full time,,,10,Bachelor Degree
8778,Middle,IT Management,Indonesia,,,,,Full time,,,3,Bachelor Degree
8780,Senior,BI,Philippines,,,,,Full time,,,5,Bachelor Degree
8781,,IT Support,Philippines,,,,,Full time,,,3,Bachelor Degree
8785,Middle,Cloud and Data Solutions,Indonesia,,,,,Full time,,,,Bachelor Degree
8787,Middle,,Philippines,,,,,Full time,,,,Bachelor Degree
8789,,UiPath,Malaysia,,,,,Full time,,,3,Bachelor Degree
8790,Junior,IT Support,Thailand,,,,,Full time,,,1,Bachelor Degree
8791,Senior,Project Management,Singapore,,,,,Full time,,,5,Bachelor Degree
8793,Middle,Security,Malaysia,,,,,Full time,,,2,Bachelor Degree
8794,Senior,Network Security,Indonesia,,,,,Full time,,No,6,Bachelor Degree
8797,Senior,Cybersecurity,Hong Kong,,,,,Full time,,,8,Bachelor Degree
8798,Middle,Full Stack Development,Indonesia,,,,,Full time,,,5,Bachelor Degree
8799,Middle,Testing & Quality Assurance,Philippines,,,,,Full time,,,4,Bachelor Degree
8802,Junior,PHP,Hong Kong,,,,,Full time,,,1,Bachelor Degree
8803,Middle,RPA,Malaysia,,6500,8500,MYR,Full time,,,3,Bachelor Degree
8804,Junior,Oracle,Philippines,,24000,30000,PHP,Full time,,,,Bachelor Degree
8805,Junior,Windows Server,Philippines,,,,,Full time,,,1,Bachelor Degree
8808,Senior,SAP,Singapore,,,,,Full time,,,16,Bachelor Degree
8813,Junior,,Philippines,,15000,17000,,Full time,,,1,Bachelor Degree
8818,Senior,SAP S/4 HANA,Singapore,,140000,,SGD,Full time,,,,Bachelor Degree
8821,Middle,Spotfire,Malaysia,,6000,8000,MYR,Full time,,,2,Bachelor Degree
8822,Middle,Advertising,Singapore,,,,,Full time,,,3,Bachelor Degree
8827,Middle,,Indonesia,,,,,Contract/Temp,,,2,Bachelor Degree
8828,Middle,Backend Development,Indonesia,,,,,Full time,,,5,Bachelor Degree
8829,Senior,MySQL,Philippines,,,,,Full time,Hybrid,,3,Bachelor Degree
8833,Senior,C++,Australia,NSW,140000,170000,AUD,Full time,,,,Bachelor Degree
8838,Senior,Data Architecture,Philippines,,,,,Full time,,,5,Bachelor Degree
8840,Senior,IT HR,Indonesia,,,,,Full time,,,2,Bachelor Degree
8841,Middle,UNIX,Philippines,,,,,Full time,Hybrid,,2,Bachelor Degree
8843,,PHP,Philippines,,173375,173375,,Full time,,,,Bachelor Degree
8848,Middle,ABAP,Indonesia,,,,,Full time,,,1,Bachelor Degree
8849,Middle,SAP,Philippines,,50000,75000,PHP,Full time,Hybrid,,3,Bachelor Degree
8851,Middle,Java,Philippines,,60000,80000,PHP,Full time,,,3,Bachelor Degree
8854,Junior,Testing & Quality Assurance,Philippines,,,,,Full time,Office,,,Bachelor Degree
8857,Middle,CRM,Singapore,,,,,Full time,,,,Bachelor Degree
8858,Junior,Laboratory Equipment Support,Philippines,,25000,30000,PHP,Full time,Office,,1,Bachelor Degree
8864,Middle,Business Process Modeling Notation (BPMN),Philippines,,,,,Contract/Temp,Hybrid,,2,Bachelor Degree
8868,Junior,,Philippines,,18000,18000,Php,Full time,Office,,,Bachelor Degree
8871,Junior,IT Support,Philippines,,,,,Full time,,,,Bachelor Degree
8872,Senior,Power Platform,Hong Kong,,40000,80000,HKD,Full time,,,3,Bachelor Degree
8876,Middle,Power Platform,Indonesia,,,,,Full time,Hybrid,,2,Bachelor Degree
8877,Middle,ERP,Australia,QLD,,,,Full time,Hybrid,,,Bachelor Degree
8880,Senior,Infrastructure,Indonesia,,,,,Full time,,,5,Bachelor Degree
8882,Junior,,Hong Kong,,,,,Full time,,,2,Bachelor Degree
8885,Middle,Game Development,Malaysia,,4000,5000,MYR,Full time,,,,Bachelor Degree
8886,Middle, Listings and Content,Singapore,,,,,Full time,,,,Bachelor Degree
8896,Middle,Java,Thailand,,,,,Full time,,,3,Bachelor Degree
8901,,Product Management,Singapore,,,,,Full time,,,2,Bachelor Degree
8904,Senior,Network Security,Indonesia,,,,,Full time,,,8,Bachelor Degree
8907,,Salesforce,Thailand,,,,,Full time,,,,Bachelor Degree
8912,Junior,Database Development & Administration,Philippines,,15000,23000,,Full time,Office,,1,Bachelor Degree
8915,Middle,PHP,Philippines,,,,,Full time,Office,,2,Bachelor Degree
8919,,German,Indonesia,,,,,Part time,Remote,,,Bachelor Degree
8923,Middle,Python,Indonesia,,,,,Full time,,,4,Bachelor Degree
8926,Senior,IT Architecture,Hong Kong,,,,,Full time,,,6,Bachelor Degree
8927,Middle,Web Development,Philippines,,50000,70000,PHP,Contract/Temp,Remote,,4,Bachelor Degree
8929,Middle,Embedded Systems,Singapore,,,,,Full time,,,3,Bachelor Degree
8932,Senior,Payments,Singapore,,,,,Full time,,,8,Bachelor Degree
8933,Middle,Data Analysis,Philippines,,,,,Full time,,,,Bachelor Degree
8934,Senior,AWS,Philippines,,,,,Full time,,,5,Bachelor Degree
8936,,Security,Philippines,,,,,Full time,Hybrid,,5,Bachelor Degree
8938,Senior,Project Management,Singapore,,,,,Full time,,,,Bachelor Degree
8939,,Mobile Games,Philippines,,20000,30000,,Full time,Office,,,Bachelor Degree
8940,Middle,IT Support,Indonesia,,5000000,7000000,IDR,Contract/Temp,,,2,Bachelor Degree
8944,Middle,ReactJS,Indonesia,,,,,Full time,,,,Bachelor Degree
8945,Middle,RPA,Philippines,,,,,Full time,,,3,Bachelor Degree
8946,Senior,Embedded Systems,Philippines,,,,,Full time,,,4,Bachelor Degree
8948,Middle,ERP,Hong Kong,,25000,30000,HKD,Full time,Office,,3,Bachelor Degree
8952,Senior,Business Analysis,Singapore,,,,,Contract/Temp,,,,Bachelor Degree
8954,Middle,JavaScript,Indonesia,,,,,Full time,,,3,Bachelor Degree
8960,Lead,DevOps,Indonesia,,,,,Full time,,,8,Bachelor Degree
8972,Senior,Business Analysis,Philippines,,37000,55000,PHP,Full time,Hybrid,,5,Bachelor Degree
8974,Middle,JavaScript,Singapore,,,,,Contract/Temp,Office,,,Bachelor Degree
8977,Lead,Cyber Security,Hong Kong,,80000,100000,HKD,Full time,,,5,Bachelor Degree
8983,Senior,Full Stack Development,Singapore,,6000,8000,SGD,Full time,,,,Bachelor Degree
8984,Junior,,Philippines,,,,,Full time,,,0,Bachelor Degree
8985,Middle,PHP,Indonesia,,,,,Full time,,,2,Bachelor Degree
8990,Middle,Data Platform,Singapore,,,,,Full time,,,3,Bachelor Degree
