jobid,level,tech_specialisation,country,state,salary_from,salary_to,currency,type,mode,visa_sponsorship,work_experience_years,education_level
11108,Middle,Network Operations,Philippines,,,,,Full time,,,1,Associate Degree
11998,Middle,Help Desk & IT Support,Australia,NSW,300,304,AUD,Contract/Temp,Hybrid,,,Associate Degree
12631,Middle,Network Operations,Philippines,,,,,Full time,,,1,Associate Degree
14362,Middle,,Indonesia,,5000000,6000000,IDR,Full time,,,3,Associate Degree
15634,Middle,Network and Systems Administration,Australia,NSW,,,,Full time,,,,Associate Degree
15652,Middle,Microsoft Teams,Philippines,,,,,Full time,Hybrid,,2,Associate Degree
15804,Middle,IT Support,Malaysia,,3500,4500,MYR,Full time,,,,Associate Degree
15983,Middle,Technical Support,Philippines,,,,,Full time,,,1,Associate Degree
16445,Senior,Windows,Malaysia,,,,,Full time,Hybrid,,7,Associate Degree
16535,Junior,Microsoft SQL,Malaysia,,,,,Full time,,,1,Associate Degree
16604,Junior,Help Desk,Philippines,,24500,28500,PHP,Full time,Office,,0,Associate Degree
16702,,System Administration,Philippines,,,,,Full time,Hybrid,,5,Associate Degree
16738,Junior,IT Support,Philippines,,19000,25000,PHP,Full time,,,,Associate Degree
16963,Middle,IT Support,Philippines,,,,,Full time,,,,Associate Degree
17122,Middle,IT Systems Administration,Philippines,,,,,Full time,Office,,2,Associate Degree
17397,,Microsoft,Philippines,,,,,Full time,,,1,Associate Degree
19464,Middle,IT Support,Philippines,,39000,49000,PHP,Full time,,,2,Associate Degree
19558,Middle,Microsoft,Philippines,,,,,Full time,,,1,Associate Degree
20486,Middle,Telecommunications,Philippines,,,,,Full time,,,3,Associate Degree
20619,Middle,Frontend Development,Hong Kong,,,,,Full time,,,3,Associate Degree
21017,Middle,UI/UX,Philippines,,,,,Full time,Hybrid,,2,Associate Degree
21954,Junior,Data Center Operations,Hong Kong,,,,,Full time,,,3,Associate Degree
23615,Middle,Microsoft,Philippines,,,,,Full time,,,1,Associate Degree
23669,,,Indonesia,,,,,Full time,,,,Associate Degree
24088,Junior,PHP,Indonesia,,,,,Contract/Temp,,,1,Associate Degree
25995,Junior,Customer Support,Singapore,,,,,Full time,Office,,1,Associate Degree
26438,Junior,,Indonesia,,,,,Full time,,,3,Associate Degree
26501,Middle,Threat Intelligence,Singapore,,3200,4500,SGD,Full time,,,,Associate Degree
26936,Junior,Financial Services,Philippines,,23000,26000,PHP,Full time,Hybrid,,0,Associate Degree
28650,Middle,Microsoft,Philippines,,60000,65000,PHP,Full time,,,1,Associate Degree
32352,Senior,Workday Adaptive Planning,Philippines,,,,,Full time,,,4,Associate Degree
32857,Middle,IT Support,Philippines,,,,,Full time,,,3,Associate Degree
30775,Junior,SAAS,Philippines,,50000,60000,PHP,Full time,Hybrid,,2,Associate Degree
25895,Junior,IT Support,Australia,WA,50000,60000,AUD,Full time,,,,Associate Degree
21962,,Help Desk & IT Support,Philippines,,,,,Full time,Remote,,2,Associate Degree
30112,Junior,,Philippines,,,,,Full time,,,1,Associate Degree
16634,Junior,,Philippines,,24500,28500,PHP,Full time,Office,,0,Associate Degree
32493,Middle,UI/UX,Philippines,,60000,80000,PHP,Full time,Hybrid,,,Associate Degree
5966,,Oracle CX,Hong Kong,,75000,75000,,Full time,,,6,Associate Degree
32362,Junior,Full Stack,Hong Kong,,15000,20000,HKD,Full time,Office,,,Associate Degree
14870,Middle,IT Support,Malaysia,,,,,Full time,,,,Associate Degree
15631,Middle,IT Support,Malaysia,,4000,6000,MYR,Full time,,,,Associate Degree
21764,Middle,,Philippines,,19000,21000,PHP,Full time,,,3,Associate Degree
21783,Middle,IT Support,Philippines,,19000,21000,PHP,Full time,,,3,Associate Degree
15781,Middle,Network,Australia,NSW,,,,Full time,,,,Associate Degree
22730,Lead,WFM,Philippines,,50000,,Php,Full time,,,2,
32784,,,Philippines,,,,,Full time,,,,
16551,Middle,,Philippines,,,,,Full time,,,2,
2602,,,Philippines,,,,,Full time,,,,
15777,,IT Helpdesk,Philippines,,,,,Full time,Office,,0,
15380,,Networks & Systems Administration,Australia,VIC,,,,Full time,,,,
27451,Middle,Network Operations,Australia,VIC,70000,75000,AUD,Full time,,,,
3903,,Software Testing,Malaysia,,,,,Full time,,,2,Bachelor Degree
17789,Middle,API testing,Malaysia,,,,,Full time,,,2,Bachelor Degree
15596,Senior,Networks,Philippines,,,,,Full time,Hybrid,,7,Bachelor Degree
5952,Senior,Nodejs,Malaysia,,,,,Full time,,,5,Bachelor Degree
29158,Middle,Driver Development,Malaysia,,,,,Full time,Hybrid,,2,Bachelor Degree
4160,Senior,,Indonesia,,,,,Full time,,,,Bachelor Degree
17261,Junior,Node JS,Indonesia,,,,,Full time,,,1,Bachelor Degree
20228,Senior,SAP B1,Indonesia,,,,,Full time,,,5,Bachelor Degree
22380,,Sales,Singapore,,,,,Full time,,,3,Bachelor Degree
26987,Junior,Power BI,Hong Kong,,,,,Full time,,,1,Bachelor Degree
6467,Lead,.NET,Indonesia,,,,,Full time,,,5,Bachelor Degree
9279,Middle,Full Stack,Malaysia,,,,,Full time,,,2,Bachelor Degree
10350,Senior,IT System Management,Singapore,,,,,Contract/Temp,,,8,Bachelor Degree
12272,Junior,,Singapore,,,,,Full time,,,,Bachelor Degree
12467,Senior,Java,Malaysia,,,,,Full time,,,5,Bachelor Degree
12974,,,Singapore,,5000,6500,SGD,Contract/Temp,,,,Bachelor Degree
16841,Middle,Security,Hong Kong,,28000,35000,HKD,Full time,,,,Bachelor Degree
20390,Senior,Application Development,Hong Kong,,,,,Full time,,,8,Bachelor Degree
27878,,,Thailand,,,,,Full time,,,,Bachelor Degree
28594,,Risk Management,Thailand,,,,,Full time,,No,,Bachelor Degree
28793,,Cards Technology,Singapore,,,,,Full time,,,12,Bachelor Degree
29179,,Microsoft Cloud,Hong Kong,,,,,Full time,,,,Bachelor Degree
29652,,.NET,Thailand,,,,,Full time,,,3,Bachelor Degree
31170,Middle,DevOps,Indonesia,,,,,Contract/Temp,,,3,Bachelor Degree
31792,Senior,Healthcare,Hong Kong,,,,,Full time,,,4,Bachelor Degree
32339,Junior,SAP,Indonesia,,,,,Full time,,,,Bachelor Degree
28366,Middle,Network Security,Malaysia,,,,,Full time,,,2,Bachelor Degree
11138,Senior,MIS,Hong Kong,,,,,Full time,,,3,Bachelor Degree
9239,Middle,Robotics Process Automation (RPA),Hong Kong,,,,,Full time,,,2,Bachelor Degree
23717,Senior,Hardware,Australia,ACT,,,,Full time,,,10,Bachelor Degree
4324,Middle,Networks & Systems Administration,Thailand,,65000,70000,THB,Full time,,,5,Bachelor Degree
23018,Senior,Insurance Operation,Hong Kong,,20000,28000,HKD,Full time,,,1,Bachelor Degree
14522,Middle,,Hong Kong,,,,,Full time,,,2,Bachelor Degree
14400,Senior,Microsoft Azure,Philippines,,,,,Full time,,,3,Bachelor Degree
21693,,,Philippines,,220000,280000,PHP,Full time,,,10,Bachelor Degree
85,Junior,Mobile App,Singapore,,,,,Full time,,,1,Bachelor Degree
9192,Middle,Snowflake,Philippines,,70000,85000,PHP,Full time,,,3,Bachelor Degree
29270,Senior,Salesforce,Australia,ACT,,,,Contract/Temp,,,3,Bachelor Degree
249,Senior,AWS,Singapore,,5500,8000,SGD,Full time,,,5,Bachelor Degree
12930,Senior,Cloud,Singapore,,,,,Full time,,,5,Bachelor Degree
